540.645081 -453.025208 507.201630, 690.712524 -646.575989 -607.528931, -37.036873 -616.215088 -419.531891, 25.078018 -260.237030 -538.090698, 
-646.575989 -607.528931 -37.036873, -616.215088 -419.531891 25.078018, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-419.531891 25.078018 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -647.827332, -607.584839 -38.846909 -617.417542, 
540.373352 -450.680176 508.673950, 694.443237 -647.827332 -607.584839, -38.846909 -617.417542 -422.554871, 25.707384 -258.527863 -536.782837, 
-647.827332 -607.584839 -38.846909, -617.417542 -422.554871 25.707384, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-422.554871 25.707384 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -650.763794, -609.156067 -39.067932 -618.862244, 
542.585510 -452.296204 509.579956, 694.541382 -650.763794 -609.156067, -39.067932 -618.862244 -421.433655, 23.966984 -262.965302 -534.854553, 
-650.763794 -609.156067 -39.067932, -618.862244 -421.433655 23.966984, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-421.433655 23.966984 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -652.796936, -606.194763 -38.652618 -626.596191, 
536.481628 -452.132294 509.214020, 695.961731 -652.796936 -606.194763, -38.652618 -626.596191 -422.082184, 27.071754 -261.278839 -534.279480, 
-652.796936 -606.194763 -38.652618, -626.596191 -422.082184 27.071754, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-422.082184 27.071754 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -651.548157, -605.308105 -38.484596 -625.961243, 
541.115967 -451.826447 510.739990, 691.488892 -651.548157 -605.308105, -38.484596 -625.961243 -420.602539, 25.954576 -266.722443 -534.420776, 
-651.548157 -605.308105 -38.484596, -625.961243 -420.602539 25.954576, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-420.602539 25.954576 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -649.068054, -608.519470 -39.352978 -620.403076, 
544.236389 -451.748291 505.543610, 697.259094 -649.068054 -608.519470, -39.352978 -620.403076 -420.662842, 24.751120 -262.965302 -534.854553, 
-649.068054 -608.519470 -39.352978, -620.403076 -420.662842 24.751120, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-420.662842 24.751120 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -650.180176, -609.354797 -39.143383 -619.506653, 
536.481628 -452.132294 509.214020, 695.961731 -650.180176 -609.354797, -39.143383 -619.506653 -421.466064, 23.965124 -262.965302 -534.854553, 
-650.180176 -609.354797 -39.143383, -619.506653 -421.466064 23.965124, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-421.466064 23.965124 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -650.920593, -608.229980 -33.844971 -622.490784, 
536.481628 -452.132294 509.214020, 695.961731 -650.920593 -608.229980, -33.844971 -622.490784 -422.252441, 24.506128 -260.195099 -532.424805, 
-650.920593 -608.229980 -33.844971, -622.490784 -422.252441 24.506128, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-422.252441 24.506128 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -646.950134, -608.014709 -37.025558 -615.983826, 
540.645081 -453.025208 507.201630, 690.712524 -646.950134 -608.014709, -37.025558 -615.983826 -420.033752, 24.730770 -260.237030 -538.090698, 
-646.950134 -608.014709 -37.025558, -615.983826 -420.033752 24.730770, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-420.033752 24.730770 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -652.514771, -605.514099 -37.075642 -624.918396, 
540.373352 -450.680176 508.673950, 694.443237 -652.514771 -605.514099, -37.075642 -624.918396 -420.140472, 24.570568 -266.722443 -534.420776, 
-652.514771 -605.514099 -37.075642, -624.918396 -420.140472 24.570568, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-420.140472 24.570568 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -650.024841, -608.476074 -38.503334 -619.336548, 
544.236389 -451.748291 505.543610, 697.259094 -650.024841 -608.476074, -38.503334 -619.336548 -420.347443, 23.976282 -262.965302 -534.854553, 
-650.024841 -608.476074 -38.503334, -619.336548 -420.347443 23.976282, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-420.347443 23.976282 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -652.526367, -605.746643 -38.335239 -626.721130, 
536.481628 -452.132294 509.214020, 695.961731 -652.526367 -605.746643, -38.335239 -626.721130 -421.458008, 27.131889 -261.278839 -534.279480, 
-652.526367 -605.746643 -38.335239, -626.721130 -421.458008 27.131889, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-421.458008 27.131889 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -647.110229, -608.344299 -40.461300 -618.580078, 
541.115967 -451.826447 510.739990, 691.488892 -647.110229 -608.344299, -40.461300 -618.580078 -423.989105, 26.692570 -258.527863 -536.782837, 
-647.110229 -608.344299 -40.461300, -618.580078 -423.989105 26.692570, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-423.989105 26.692570 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -647.472961, -609.447876 -41.564697 -618.632874, 
542.585510 -452.296204 509.579956, 694.541382 -647.472961 -609.447876, -41.564697 -618.632874 -425.655701, 26.834900 -258.527863 -536.782837, 
